freguesia,freguesia_codigo,tipo,titulo,datas,url_viewer,url_info
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00001,1860-01-06 – 1860-12-31,https://digitarq.arquivos.pt/fileViewer/734a3244db0d49c2886cb74df6c6e5c7?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/734a3244db0d49c2886cb74df6c6e5c7
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00002,1861-01-08 – 1861-12-16,https://digitarq.arquivos.pt/fileViewer/9b0f2931d77d4165aa5ee059e841ec26?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/9b0f2931d77d4165aa5ee059e841ec26
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00003,1862-01-01 – 1862-12-26,https://digitarq.arquivos.pt/fileViewer/822dd700d06c4b40a1fc25c5dd63f550?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/822dd700d06c4b40a1fc25c5dd63f550
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00004,1863-01-12 – 1863-12-29,https://digitarq.arquivos.pt/fileViewer/a962e045a7b54e4ca29c685780c8f869?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/a962e045a7b54e4ca29c685780c8f869
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00005,1864-05-10 – 1864-11-21,https://digitarq.arquivos.pt/fileViewer/ecbb890311784587abbe7066fdefb8ae?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/ecbb890311784587abbe7066fdefb8ae
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00006,1865-01-09 – 1865-12-28,https://digitarq.arquivos.pt/fileViewer/41c0be82697d4ee38b7bca10ca39529d?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/41c0be82697d4ee38b7bca10ca39529d
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00007,1866-01-24 – 1866-12-16,https://digitarq.arquivos.pt/fileViewer/2d70ee5f48ce497c999995bf135068d2?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/2d70ee5f48ce497c999995bf135068d2
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00008,1866-01-24 – 1866-12-16,https://digitarq.arquivos.pt/fileViewer/f565637c1ff3478cb4a17842692e13cd?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/f565637c1ff3478cb4a17842692e13cd
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00009,1867-01-29 – 1867-11-03,https://digitarq.arquivos.pt/fileViewer/53fd2f298bfc40a6bcd1efaa8065e28e?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/53fd2f298bfc40a6bcd1efaa8065e28e
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00010,1868-01-10 – 1868-12-31,https://digitarq.arquivos.pt/fileViewer/775eabae1093464583ed2076a3f7a17a?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/775eabae1093464583ed2076a3f7a17a
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00011,1869-01-04 – 1869-11-16,https://digitarq.arquivos.pt/fileViewer/e78b1382f2d1424fb5f42d5e51776c02?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/e78b1382f2d1424fb5f42d5e51776c02
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00012,1870-01-11 – 1870-12-14,https://digitarq.arquivos.pt/fileViewer/811f7382a5af458b9d83d08ede65ad77?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/811f7382a5af458b9d83d08ede65ad77
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00013,1871-01-16 – 1871-11-15,https://digitarq.arquivos.pt/fileViewer/90e6cf819e684390a2c7251c046029b8?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/90e6cf819e684390a2c7251c046029b8
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00014,1872-01-03 – 1872-12-23,https://digitarq.arquivos.pt/fileViewer/9ebcb2e4473a4fb9a14db130aa19fff9?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/9ebcb2e4473a4fb9a14db130aa19fff9
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00015,1873-01-16 – 1873-12-11,https://digitarq.arquivos.pt/fileViewer/e33e8b5e6bb64da98d6b612995658e72?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/e33e8b5e6bb64da98d6b612995658e72
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00016,1874-02-22 – 1874-12-18,https://digitarq.arquivos.pt/fileViewer/a1fc1f6e8fbb49d3905b969255094349?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/a1fc1f6e8fbb49d3905b969255094349
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00017,1875-05-18 – 1875-12-08,https://digitarq.arquivos.pt/fileViewer/a1696f1caae34d17a7e79bc8424b634e?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/a1696f1caae34d17a7e79bc8424b634e
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00018,1876-01-02 – 1876-11-21,https://digitarq.arquivos.pt/fileViewer/c119e0674e5b444d8c7845a6f810bfa4?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/c119e0674e5b444d8c7845a6f810bfa4
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00019,1877-01-18 – 1877-07-23,https://digitarq.arquivos.pt/fileViewer/d9a75a0fa1844ebf998935c210684762?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/d9a75a0fa1844ebf998935c210684762
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00020,1878-03-13 – 1878-12-09,https://digitarq.arquivos.pt/fileViewer/ecc4c7f6691f442a81a4bfddcbc2a318?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/ecc4c7f6691f442a81a4bfddcbc2a318
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00021,1879-01-29 – 1879-12-29,https://digitarq.arquivos.pt/fileViewer/05ca94e11fb44c84b8c8e28832381dbd?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/05ca94e11fb44c84b8c8e28832381dbd
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00022,1880-01-14 – 1880-12-26,https://digitarq.arquivos.pt/fileViewer/113835186ae54d5a821260c240befb05?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/113835186ae54d5a821260c240befb05
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00023,1881-03-13 – 1881-10-22,https://digitarq.arquivos.pt/fileViewer/1fcdbe723e4e4a2986ef46af817b4100?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/1fcdbe723e4e4a2986ef46af817b4100
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00024,1882-03-12 – 1882-08-13,https://digitarq.arquivos.pt/fileViewer/7b5fdef574c2410cbcdc1faab13dbb12?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/7b5fdef574c2410cbcdc1faab13dbb12
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00025,1883-01-10 – 1883-12-16,https://digitarq.arquivos.pt/fileViewer/9512f283829c49f599c0d027906eefaf?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/9512f283829c49f599c0d027906eefaf
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00026,1884-01-10 – 1884-12-15,https://digitarq.arquivos.pt/fileViewer/a4dd630924084ed5b7649791c87b2d13?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/a4dd630924084ed5b7649791c87b2d13
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00027,1885-01-29 – 1885-12-22,https://digitarq.arquivos.pt/fileViewer/6475e353b4a649eca53211e42990b492?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/6475e353b4a649eca53211e42990b492
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00028,1886-01-06 – 1886-11-26,https://digitarq.arquivos.pt/fileViewer/6135f7cae07f4fc8b0954bfc3f88b64a?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/6135f7cae07f4fc8b0954bfc3f88b64a
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00029,1887-01-31 – 1887-12-25,https://digitarq.arquivos.pt/fileViewer/ec8367e825ac4070bbda223d5a83ec1d?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/ec8367e825ac4070bbda223d5a83ec1d
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00030,1888-03-09 – 1888-12-22,https://digitarq.arquivos.pt/fileViewer/897115dfe2ee468bb9f50cf1180d0308?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/897115dfe2ee468bb9f50cf1180d0308
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00031,1889-02-13 – 1889-12-26,https://digitarq.arquivos.pt/fileViewer/6bd16624d1d84b628332238a58c6e1bc?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/6bd16624d1d84b628332238a58c6e1bc
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00032,1890-01-01 – 1890-10-24,https://digitarq.arquivos.pt/fileViewer/5ab1c218621d495eb437ff8d9e450bcb?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/5ab1c218621d495eb437ff8d9e450bcb
Açores,clb01,Registos de óbitos,PT/ADGRD/PRQ/PCLB01/003/00033,1891-02-09 – 1891-11-27,https://digitarq.arquivos.pt/fileViewer/8eeafa4159994f02b38aa3fc6f3f8935?isRepresentation=false,https://digitarq.arquivos.pt/documentDetails/8eeafa4159994f02b38aa3fc6f3f8935
